,start_location_lat,start_location_long,created_date,period,time_of_day
8962,30.292562,-97.744571,2016-07-04 03:41:56,7,0 days 03:41:56.000000000
8963,30.245135,-97.779239,2016-07-04 03:42:03,7,0 days 03:42:03.000000000
8964,30.341315,-97.738287,2016-07-04 03:42:18,7,0 days 03:42:18.000000000
8965,30.341342,-97.738456,2016-07-04 03:42:30,7,0 days 03:42:30.000000000
8966,30.341315,-97.738287,2016-07-04 03:42:37,7,0 days 03:42:37.000000000
8967,30.341315,-97.738287,2016-07-04 03:42:40,7,0 days 03:42:40.000000000
8968,30.334886,-97.751717,2016-07-04 03:42:50,7,0 days 03:42:50.000000000
8969,30.341315,-97.738287,2016-07-04 03:42:50,7,0 days 03:42:50.000000000
8970,30.246591,-97.760976,2016-07-04 03:42:57,7,0 days 03:42:57.000000000
8971,30.341315,-97.738287,2016-07-04 03:43:16,7,0 days 03:43:16.000000000
8972,30.251051,-97.748875,2016-07-04 03:43:24,7,0 days 03:43:24.000000000
8973,30.271988,-97.752839,2016-07-04 03:43:57,7,0 days 03:43:57.000000000
8974,30.261258,-97.760918,2016-07-04 03:44:10,7,0 days 03:44:10.000000000
8975,30.278705,-97.752333,2016-07-04 03:44:32,7,0 days 03:44:32.000000000
8976,30.255507,-97.738892,2016-07-04 03:45:06,7,0 days 03:45:06.000000000
8977,30.329151,-97.739603,2016-07-04 03:45:20,7,0 days 03:45:20.000000000
8978,30.319044,-97.703529,2016-07-04 03:45:36,7,0 days 03:45:36.000000000
8979,30.329151,-97.739603,2016-07-04 03:47:20,7,0 days 03:47:20.000000000
8980,30.239673,-97.75789,2016-07-04 03:47:23,7,0 days 03:47:23.000000000
8981,30.341315,-97.738287,2016-07-04 03:48:04,7,0 days 03:48:04.000000000
8982,30.236117,-97.795786,2016-07-04 03:49:22,7,0 days 03:49:22.000000000
8983,30.226018,-97.759858,2016-07-04 03:50:03,7,0 days 03:50:03.000000000
8984,30.241438,-97.759023,2016-07-04 03:50:18,7,0 days 03:50:18.000000000
8985,30.29045,-97.746573,2016-07-04 03:50:39,7,0 days 03:50:39.000000000
8986,30.226165,-97.760049,2016-07-04 03:50:43,7,0 days 03:50:43.000000000
8987,30.29045,-97.746573,2016-07-04 03:51:07,7,0 days 03:51:07.000000000
8988,30.267227,-97.743638,2016-07-04 03:51:27,7,0 days 03:51:27.000000000
